Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
101  30  0.297029702970297  10000  True  110  9  9  5285
101  30  0.297029702970297  10000  True  113  7  7  5290
101  30  0.297029702970297  10000  True  100  11  11  5295
101  30  0.297029702970297  10000  True  127  7  7  5300
101  30  0.297029702970297  10000  True  211  -5  -19  5305
101  30  0.297029702970297  10000  True  208  -9  -15  5310
101  30  0.297029702970297  10000  True  106  7  7  5315
101  30  0.297029702970297  10000  True  106  7  7  5320
101  30  0.297029702970297  10000  True  121  7  7  5325
101  30  0.297029702970297  10000  True  208  3  -13  5330
101  30  0.297029702970297  10000  True  217  -9  -9  5335
101  30  0.297029702970297  10000  True  109  9  9  5340
101  30  0.297029702970297  10000  True  106  9  9  5345
101  30  0.297029702970297  10000  True  211  1  -9  5350
101  30  0.297029702970297  10000  True  92  9  9  5355
101  30  0.297029702970297  10000  True  85  9  9  5360
101  30  0.297029702970297  10000  True  216  -7  -7  5365
101  30  0.297029702970297  10000  True  92  9  9  5370
101  30  0.297029702970297  10000  True  213  -1  -11  5375
101  30  0.297029702970297  10000  True  208  -7  -9  5380
101  30  0.297029702970297  10000  True  101  7  7  5385
101  30  0.297029702970297  10000  True  110  7  7  5390
101  30  0.297029702970297  10000  True  209  -5  -7  5395
101  30  0.297029702970297  10000  True  78  11  11  5400
101  30  0.297029702970297  10000  True  109  9  9  5405
101  30  0.297029702970297  10000  True  81  9  9  5410
101  30  0.297029702970297  10000  True  93  9  9  5415
101  30  0.297029702970297  10000  True  137  7  7  5420
101  30  0.297029702970297  10000  True  116  9  9  5425
101  30  0.297029702970297  10000  True  207  3  -7  5430
101  30  0.297029702970297  10000  True  205  -7  -13  5435
101  30  0.297029702970297  10000  True  208  -5  -15  5440
101  30  0.297029702970297  10000  True  207  -1  -11  5445
101  30  0.297029702970297  10000  True  208  -1  -15  5450
101  30  0.297029702970297  10000  True  206  -3  -11  5455
101  30  0.297029702970297  10000  True  207  -5  -9  5460
101  30  0.297029702970297  10000  True  154  9  9  5465
101  30  0.297029702970297  10000  True  104  7  7  5470
101  30  0.297029702970297  10000  True  208  3  -5  5475
101  30  0.297029702970297  10000  True  205  -3  -11  5480
101  30  0.297029702970297  10000  True  176  9  9  5485
101  30  0.297029702970297  10000  True  87  7  7  5490
101  30  0.297029702970297  10000  True  104  9  9  5495
101  40  0.39603960396039606  10000  True  139  3  3  6000
101  40  0.39603960396039606  10000  True  207  -7  -17  6005
101  40  0.39603960396039606  10000  True  108  7  7  6010
101  40  0.39603960396039606  10000  True  79  7  7  6015
101  40  0.39603960396039606  10000  True  103  7  7  6020
101  40  0.39603960396039606  10000  True  115  5  5  6025
101  40  0.39603960396039606  10000  True  99  5  5  6030
101  40  0.39603960396039606  10000  True  115  5  5  6035
