Results:
N  M  Alpha  Max_Iterations  Converged  Iterations_To_Converge  Delta_max  Delta_convergence  Random_seed
101  30  0.297029702970297  10000  True  210  -3  -11  5261
101  30  0.297029702970297  10000  True  212  -11  -17  5266
101  30  0.297029702970297  10000  True  108  7  7  5271
101  30  0.297029702970297  10000  True  110  7  7  5276
101  30  0.297029702970297  10000  True  207  -7  -9  5281
101  30  0.297029702970297  10000  True  215  -5  -7  5286
101  30  0.297029702970297  10000  True  210  1  -17  5291
101  30  0.297029702970297  10000  True  98  7  7  5296
101  30  0.297029702970297  10000  True  190  7  7  5301
101  30  0.297029702970297  10000  True  93  9  9  5306
101  30  0.297029702970297  10000  True  209  -7  -11  5311
101  30  0.297029702970297  10000  True  208  -1  -11  5316
101  30  0.297029702970297  10000  True  207  -1  -7  5321
101  30  0.297029702970297  10000  True  209  -5  -7  5326
101  30  0.297029702970297  10000  True  207  1  -11  5331
101  30  0.297029702970297  10000  True  140  9  9  5336
101  30  0.297029702970297  10000  True  210  -1  -11  5341
101  30  0.297029702970297  10000  True  213  -1  -17  5346
101  30  0.297029702970297  10000  True  110  7  7  5351
101  30  0.297029702970297  10000  True  209  -3  -7  5356
101  30  0.297029702970297  10000  True  114  11  11  5361
101  30  0.297029702970297  10000  True  207  -3  -7  5366
101  30  0.297029702970297  10000  True  205  -7  -11  5371
101  30  0.297029702970297  10000  True  205  -1  -13  5376
101  30  0.297029702970297  10000  True  107  9  9  5381
101  30  0.297029702970297  10000  True  100  7  7  5386
101  30  0.297029702970297  10000  True  117  7  7  5391
101  30  0.297029702970297  10000  True  206  -1  -13  5396
101  30  0.297029702970297  10000  True  97  9  9  5401
101  30  0.297029702970297  10000  True  102  9  9  5406
101  30  0.297029702970297  10000  True  210  -11  -15  5411
101  30  0.297029702970297  10000  True  104  9  9  5416
101  30  0.297029702970297  10000  True  90  9  9  5421
101  30  0.297029702970297  10000  True  105  9  9  5426
101  30  0.297029702970297  10000  True  122  7  7  5431
101  30  0.297029702970297  10000  True  102  9  9  5436
101  30  0.297029702970297  10000  True  102  9  7  5441
101  30  0.297029702970297  10000  True  109  7  7  5446
101  30  0.297029702970297  10000  True  208  -7  -13  5451
